rostime,x_acc,y_acc,z_acc
1592291185.926,0.608,-9.944,-2.099
1592291185.93,0.765,-9.022,-2.452
1592291185.934,0.363,-10.013,-2.716
1592291185.938,-0.402,-8.806,-2.736
1592291185.942,-0.706,-9.611,-2.314
1592291185.946,-0.402,-9.65,-1.716
1592291185.95,0.265,-9.581,-2.197
1592291185.953,0.588,-8.62,-2.256
1592291185.957,0.343,-9.365,-2.854
1592291185.961,0.186,-8.865,-3.04
1592291185.965,0.147,-9.503,-2.756
1592291185.969,0.0,-9.669,-1.834
1592291185.973,0.029,-9.846,-1.716
1592291185.977,0.226,-9.101,-1.294
1592291185.981,0.01,-9.12,-1.255
1592291185.985,0.167,-10.424,-2.491
1592291185.989,0.431,-8.885,-2.775
1592291185.993,0.127,-9.983,-2.756
1592291185.997,-0.363,-9.365,-2.54
1592291186.001,-0.549,-8.738,-2.05
1592291186.005,-0.363,-9.042,-1.206
1592291186.008,-0.01,-9.905,-1.667
1592291186.012,0.51,-9.748,-2.736
1592291186.016,0.402,-9.689,-2.922
1592291186.02,-0.667,-9.444,-2.942
1592291186.024,-1.049,-9.042,-2.314
1592291186.028,-0.608,-8.983,-0.99
1592291186.032,-0.167,-9.522,-0.726
1592291186.036,0.726,-10.572,-1.932
1592291186.04,0.912,-9.248,-2.962
1592291186.044,-0.147,-8.502,-3.02
1592291186.048,-0.667,-9.748,-3.001
1592291186.052,-0.412,-8.345,-1.814
1592291186.056,-0.147,-9.964,-0.785
1592291186.06,0.608,-10.493,-1.245
1592291186.064,0.873,-8.963,-2.452
1592291186.067,0.108,-9.12,-3.138
1592291186.071,-0.549,-9.022,-3.981
1592291186.075,-0.588,-8.963,-3.217
1592291186.079,-0.382,-9.728,-1.608
1592291186.083,0.01,-9.767,-1.128
1592291186.087,0.343,-8.561,-1.255
1592291186.091,0.324,-9.385,-1.912
1592291186.095,-0.265,-9.611,-2.638
1592291186.099,-1.069,-9.767,-2.834
1592291186.103,-1.255,-9.248,-1.893
1592291186.107,-0.706,-9.385,-1.245
1592291186.111,-0.049,-9.189,-1.471
1592291186.115,0.245,-9.101,-1.873
1592291186.119,0.412,-9.522,-2.56
1592291186.123,0.049,-9.267,-2.893
1592291186.126,-0.549,-9.159,-2.373
1592291186.13,-0.382,-9.346,-1.51
1592291186.134,0.0,-8.944,-1.069
1592291186.138,0.088,-9.728,-1.314
1592291186.142,0.186,-10.003,-1.834
1592291186.146,-0.01,-9.287,-2.52
1592291186.15,-0.304,-9.483,-2.354
1592291186.154,-0.382,-9.581,-1.697
1592291186.158,-0.284,-8.983,-1.187
1592291186.162,0.049,-9.228,-0.785
1592291186.166,0.667,-9.424,-1.275
1592291186.17,1.03,-8.826,-2.432
1592291186.174,0.49,-8.826,-3.119
1592291186.178,-0.049,-8.826,-2.942
1592291186.182,-0.343,-9.228,-2.197
1592291186.185,-0.265,-9.709,-1.373
1592291186.189,0.363,-9.179,-1.108
1592291186.193,0.99,-9.463,-1.432
1592291186.197,0.608,-9.326,-2.256
1592291186.201,-0.304,-9.042,-2.599
1592291186.205,-0.99,-9.248,-1.755
1592291186.209,-0.873,-9.14,-1.226
1592291186.213,0.265,-9.081,-0.892
